datetime,latitude,longitude,magnitude,mag_type,depth,phasecount,azimuth_gap,location
2025-10-01 12:30:19.302639+00:00,-0.1213495060801506,123.333984375,2.790115986368255,M,139,12.0,194.8015594482422,"Minahassa Peninsula, Sulawesi"
2025-10-01 10:16:04.080532+00:00,-7.294140815734863,114.16664123535156,2.650229129420979,M,10,7.0,217.1015167236328,Bali Sea
2025-10-01 09:08:34.331422+00:00,-8.673040390014648,123.75218963623048,4.435225269376891,MLv,78,55.0,56.99261856079102,"Flores Region, Indonesia"
2025-10-01 07:27:26.179947+00:00,-2.94502067565918,120.65916442871094,2.49212159386761,ML,11,9.0,273.0113677978516,"Sulawesi, Indonesia"
2025-10-01 06:27:13.361342+00:00,4.172718048095703,97.58043670654295,3.375946045124001,M,10,10.0,102.93021774291992,"Northern Sumatra, Indonesia"
2025-10-01 06:10:39.133292+00:00,3.8291656970977774,126.80876922607422,3.325176741786944,M,29,10.0,145.3680419921875,"Talaud Islands, Indonesia"
2025-10-01 05:31:56.086721+00:00,-7.252293109893799,114.15170288085938,2.5725987482448143,M,10,19.0,174.6627426147461,Bali Sea
2025-10-01 05:27:57.083848+00:00,-7.310048580169678,114.16143035888672,2.7552943170257005,M,10,20.0,167.31752014160156,Bali Sea
2025-10-01 05:18:22.332839+00:00,-7.148605346679688,114.15020751953124,3.20824041308295,M,18,25.0,141.11101531982422,Bali Sea
2025-10-01 04:53:29.438860+00:00,-7.260317325592041,114.16214752197266,2.573349960582227,M,11,19.0,174.82310485839844,Bali Sea
2025-10-01 04:34:26.686548+00:00,-0.2048438340425491,125.3706817626953,3.9286290253617246,M,10,28.0,72.51881408691406,Southern Molucca Sea
2025-10-01 04:08:41.920714+00:00,-7.302287101745605,114.1854248046875,2.6904135638434847,M,10,23.0,171.60968780517578,Bali Sea
2025-10-01 03:50:03.272670+00:00,-7.890809059143066,117.70570373535156,2.626478180388395,M,23,24.0,227.5179214477539,Bali Sea
2025-10-01 03:39:22.789577+00:00,-7.295934200286865,114.1319122314453,2.913143365285209,M,10,25.0,109.59551239013672,Bali Sea
2025-10-01 03:31:57.397691+00:00,-8.506031036376953,118.11378479003906,4.429904159046986,M,175,169.0,34.494140625,"Sumbawa Region, Indonesia"
2025-10-01 03:11:33.951718+00:00,-7.232087135314941,114.09837341308594,2.48849930462195,M,13,17.0,189.35215759277344,Bali Sea
2025-10-01 03:09:29.667193+00:00,-7.275901317596436,114.16883087158205,2.5547962269893234,M,10,17.0,173.29603576660156,Bali Sea
2025-10-01 01:43:37.091621+00:00,-7.28416681289673,114.18944549560548,2.64855604110326,M,10,18.0,211.94351196289065,Bali Sea
2025-10-01 01:37:35.578106+00:00,-7.215991973876953,114.15789031982422,2.615501654755965,M,14,15.0,202.0595245361328,Bali Sea
2025-10-01 01:31:05.749843+00:00,-7.267386436462402,114.20558166503906,2.7156577253360177,M,10,28.0,121.3387908935547,Bali Sea
2025-10-01 01:22:26.522032+00:00,-9.31708812713623,114.0574188232422,2.89735078252412,MLv,32,17.0,250.98628997802732,"South of Bali, Indonesia"
2025-10-01 01:09:00.040696+00:00,-7.289527416229248,114.14752960205078,2.5351704574109823,M,14,17.0,168.26370239257812,Bali Sea
2025-10-01 01:00:56.953335+00:00,-7.278926372528076,114.1788558959961,3.3521241000684725,M,17,18.0,117.14313507080078,Bali Sea
2025-10-01 00:59:52.951590+00:00,-7.305613994598389,114.1530303955078,3.1250845505214344,M,10,20.0,110.40294647216795,Bali Sea
2025-10-01 00:40:05.060187+00:00,-7.260385036468506,114.18475341796876,2.6214027153916515,M,10,15.0,200.55453491210935,Bali Sea
2025-10-01 00:25:34.861413+00:00,-7.308776378631592,114.13070678710938,3.9081517920724274,M,10,67.0,107.51911163330078,Bali Sea
2025-09-30 23:34:13.404875+00:00,-7.293191909790039,114.14906311035156,2.7848016188407883,M,13,22.0,111.90796661376952,Bali Sea
2025-09-30 23:26:07.209824+00:00,-7.280288219451904,114.17234802246094,2.871827329860041,M,11,34.0,116.315185546875,Bali Sea
