No,Nama Perusahaan,Kode Saham,Kode Subindustri,Sektor,Subsektor,Industri,Subindustri,Index,PER,PBV,ROE %,ROA %,DER,Mkt Cap,Total Rev,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,NPM %,MTD,YTD
1,PT Adaro Andalan Indonesia Tbk,AADI,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, IDX30, IDX80, IDXENERGY, IDXV30, ISSI, KOMPAS100, LQ45, MBX",4.46,0.92,20.69,12.84,0.61,58401688200000,60243564576000,-19.14,0.35,-0.35,-23.10,21.74,-4.71,-13.98
2,Astra Agro Lestari Tbk,AALI,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, IDXNONCYC, IDXSMC-COM, Investor33, ISSI, MBX",10.29,0.62,5.98,5.07,0.18,14579514122475,22118716000000,-4.50,1.71,23.24,18.80,6.40,-2.94,20.73
3,Mahaka Media Tbk,ABBA,E614,Consumer Cyclicals,Media & Entertainment,Media,Consumer Publishing,"COMPOSITE, IDXCYCLIC",-37.99,-2.54,,-2.12,-4.15,216474107135,126929045731,-6.78,25.00,41.03,83.33,-4.49,0.00,103.70
4,Asuransi Bina Dana Arta Tbk,ABDA,G412,Financials,Insurance,Insurance,General Insurance,"COMPOSITE, IDXFINANCE, IDXSMC-COM",15.85,1.00,6.33,3.74,0.69,1669969969200,850341522000,-0.37,-9.43,-20.88,-29.21,12.39,0.00,-29.21
5,ABM Investama Tbk,ABMM,C311,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings,"COMPOSITE, IDXENERGY, IDXSMC-COM, ISSI, MBX",6.36,0.56,8.76,3.64,1.40,8039241800000,13047278748348,-9.39,-3.45,-11.39,-20.45,9.69,-3.78,-21.57
6,PT Aspirasi Hidup Indonesia Tbk,ACES,E743,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail,"COMPOSITE, ECONOMIC30, ESGSKEHATI, IDX80, IDXCYCLIC, IDXESGL, IDXHIDIV20, IDXLQ45LCL, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, ISSI, JII70, KOMPAS100, LQ45, MBX",8.96,1.11,12.39,9.80,0.27,7156322894600,6333867633117,-4.59,-4.15,-23.67,-49.58,12.61,0.00,-44.90
7,PT Samcro Hyosung Adilestari Tbk.,ACRO,E413,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,"COMPOSITE, DBX, IDXCYCLIC, ISSI",34.54,1.66,4.82,3.82,0.26,305289834520,30191836414,-3.37,1.18,34.38,22.86,29.28,1.18,-21.10
8,PT Acset Indonusa Tbk.,ACST,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, DBX, IDXINFRA, IDXSMC-COM, ISSI",-6.72,9.31,-138.62,-9.35,13.83,2456847240000,1819817000000,3.82,0.74,47.83,43.16,-20.09,2.26,52.81
9,Adhi Commuter Properti Tbk,ADCP,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",155.90,0.46,0.29,0.11,1.67,1199999998800,165544240536,5.45,0.00,16.00,16.00,4.65,9.43,16.00
10,Akasha Wira International Tbk,ADES,D212,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",13.60,3.30,24.24,20.38,0.19,9054915880000,1848380000000,1.49,13.31,45.26,62.17,36.02,-0.33,68.41
11,PT Adhi Karya (Persero) Tbk.,ADHI,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, I-GRADE, IDXBUMN20, IDXINFRA, IDXMESBUMN, IDXSMC-COM, IDXSMC-LIQ, ISSI, MBX",11.20,0.22,1.93,0.56,2.47,2101902244750,5654294992544,-4.65,-12.14,-12.14,-4.65,3.32,0.82,7.89
12,Adira Dinamika Multi Finance Tbk,ADMF,G211,Financials,Financing Service,Consumer Financing,Consumer Financing,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",8.76,0.92,10.55,3.81,1.77,10782382126025,5831755000000,-5.63,-6.42,-6.94,-17.08,21.11,-3.46,-14.76
13,Polychem Indonesia Tbk,ADMG,B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,"COMPOSITE, DBX, IDXBASIC, ISSI",-7.43,0.32,-4.31,-3.13,0.38,626157908999,1773813921828,4.46,13.10,43.86,42.61,-4.75,3.14,49.09
14,Adaro Minerals Indonesia Tbk,ADMR,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"BISNIS-27, COMPOSITE, IDX80, IDXENERGY, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, Investor33, ISSI, JII70, KOMPAS100, LQ45, MBX",9.58,1.88,19.63,12.25,0.60,51920561005000,11269507821000,-1.81,37.37,33.33,7.09,48.11,7.94,16.74
15,Alamtri Resources Indonesia Tbk,ADRO,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"BISNIS-27, COMPOSITE, IDX30, IDX80, IDXENERGY, IDXG30, IDXHIDIV20, IDXQ30, IDXSHAGROW, IDXV30, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX",5.65,0.62,10.95,8.56,0.28,53195337814000,22503787176000,-7.77,5.95,-16.04,-29.64,41.87,-2.20,-29.64
16,PT Anugerah Spareparts Sejahtera Tbk.,AEGS,E111,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment,ABX,127.94,1.11,0.87,0.80,0.08,76462134796,13343350591,-10.11,90.48,135.29,150.00,4.48,2.56,158.06
17,Asia Sejahtera Mina Tbk,AGAR,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, DBX, IDXNONCYC, ISSI",111.03,2.15,1.94,0.99,0.95,240000000000,168528292873,0.00,-4.00,0.00,12.15,1.28,0.84,9.09
18,Aneka Gas Industri Tbk,AGII,B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",57.28,1.27,2.21,1.03,1.14,4845322800000,2211221000000,13.93,108.50,45.00,2.90,3.83,2.90,12.72
19,PT Bank Rakyat Indonesia Agroniaga Tbk,AGRO,G111,Financials,Banks,Banks,Banks,"COMPOSITE, ESGSKEHATI, IDXBUMN20, IDXFINANCE, IDXSMC-COM, INFOBANK15, MBX",96.47,1.61,1.67,0.43,2.85,5633411439680,897703232000,-0.87,-8.06,2.70,-3.39,6.57,0.00,-0.87
20,PT Bank IBK Indonesia Tbk.,AGRS,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",18.33,0.65,3.55,0.92,2.88,3741997572046,1103865000000,4.05,1.32,14.93,-1.28,18.68,1.32,2.67
21,Asuransi Harta Aman Pratama Tbk,AHAP,G412,Financials,Insurance,Insurance,General Insurance,"COMPOSITE, DBX, IDXFINANCE",-193.58,2.11,-1.09,-0.20,4.49,455700000000,646927891028,6.59,25.97,32.88,6.59,-0.36,2.11,11.49
22,PT Artha Mahiya Investama Tbk,AIMS,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, DBX, IDXENERGY, ISSI",-106.22,508.06,-478.31,-18.17,25.33,84480000000,1278750000,11.40,47.26,27.22,0.47,-62.20,4.88,25.00
23,FKS Food Sejahtera Tbk,AISA,D222,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",14.81,1.23,8.30,4.51,0.84,1378146400000,1461797000000,-1.40,16.53,-11.32,19.49,6.37,-3.42,27.03
24,Anugerah Kagum Karya Utama Tbk,AKKU,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, IDXCYCLIC",-25.64,0.58,-2.27,-1.36,0.67,245079618168,5263473376,2.86,33.33,20.00,157.14,-181.57,-5.26,157.14
25,Argha Karya Prima Industry Tbk,AKPI,B113,Basic Materials,Basic Materials,Chemicals,Specialty Chemicals,"COMPOSITE, DBX, IDXBASIC, ISSI",50.10,0.20,0.39,0.19,1.05,352042600000,2230031777000,-1.74,0.89,-7.38,-5.83,0.32,-0.88,-7.38
26,AKR Corporindo Tbk.,AKRA,A112,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Storage & Distribution,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX80, IDXENERGY, IDXESGL, IDXG30, IDXHIDIV20, IDXLQ45LCL, IDXQ30, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, MNC36, SMinfra18",10.35,1.71,16.52,7.13,1.32,24891108504000,32395709550000,-0.40,1.23,-3.89,-7.49,7.43,1.23,6.93
27,PT Maming Enam Sembilan Mineral Tbk.,AKSI,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, DBX, IDXTRANS, ISSI",-34.15,2.01,-5.87,-3.38,0.74,341280000000,348078518038,6.93,80.00,57.66,37.58,-2.87,-13.60,86.21
28,Alkindo Naratama Tbk,ALDO,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",583.99,1.67,0.29,0.15,0.95,1741960364880,1556301890755,24.30,33.53,33.53,17.70,0.19,9.02,10.83
29,PT Ancara Logistics Indonesia Tbk,ALII,A122,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,"COMPOSITE, IDXENERGY, IDXSMC-COM, MBX",25.25,4.52,17.89,13.45,0.33,9416351000000,764707957000,3.60,34.58,14.29,80.00,48.76,18.03,88.48
30,Alakasa Industrindo Tbk,ALKA,B141,Basic Materials,Basic Materials,Metals & Minerals,Aluminum,"COMPOSITE, DBX, IDXBASIC, ISSI",-35.02,0.85,-2.43,-2.29,0.06,182759419800,108160529000,0.00,10.43,3.45,-3.74,-4.82,0.00,1.69
31,Alumindo Light Metal Industry Tbk,ALMI,B141,Basic Materials,Basic Materials,Metals & Minerals,Aluminum,"COMPOSITE, IDXBASIC",-1.41,2.92,-207.42,-45.07,3.60,282384000000,1280610240,0.00,0.00,0.00,0.00,-15648.58,0.00,0.00
32,Tri Banyan Tirta Tbk,ALTO,D212,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks,"COMPOSITE, IDXNONCYC",,0.13,-14.26,-4.55,2.13,39453670044,59198091908,0.00,0.00,-21.74,12.50,-71.87,0.00,20.00
33,Asuransi Multi Artha Guna Tbk,AMAG,G412,Financials,Insurance,Insurance,General Insurance,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",9.61,0.97,10.15,3.68,1.75,1920596166144,2125606531000,-0.53,1.61,1.07,13.17,9.40,-1.56,14.55
34,Makmur Berkah Amanda Tbk,AMAN,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",11.41,0.85,7.48,4.22,0.77,701103500000,182712065000,19.87,55.83,74.77,65.49,33.63,2.75,83.33
35,PT Bank Amar Indonesia Tbk.,AMAR,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",17.97,1.26,7.03,4.34,0.62,4221769832320,1054087000000,-0.86,9.52,43.75,16.75,22.52,-0.86,19.79
36,Asahimas Flat Glass Tbk,AMFG,C121,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,"COMPOSITE, DBX, IDXINDUST, IDXSMC-COM, ISSI",9.83,0.30,3.04,1.91,0.59,1362760000000,3701857000000,-14.08,-7.58,-24.13,-34.27,3.75,-3.79,-29.40
37,PT Ateliers Mecaniques D Indonesie Tbk.,AMIN,C143,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components,"COMPOSITE, DBX, IDXINDUST, ISSI",12.85,1.43,11.10,7.76,0.43,276480000000,271590330901,-8.15,-0.80,55.00,73.43,7.92,-1.59,73.43
38,PT Amman Mineral Internasional Tbk.,AMMN,B142,Basic Materials,Basic Materials,Metals & Minerals,Cooper,"COMPOSITE, ECONOMIC30, IDX80, IDXBASIC, ISSI, JII, JII70, KOMPAS100, LQ45, MBX",-134.93,5.73,-4.25,-1.66,1.56,478620236529600,9102681744000,-7.30,-21.12,-22.56,-31.72,-38.97,-1.55,-25.07
39,PT Agung Menjangan Mas Tbk,AMMS,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",,3884.47,8.59,0.22,0.21,0.03,597883652168,4702119709,-13.01,67.19,455.84,1088.89,3.27,-11.93,970.00
40,Ashmore Asset Management Indonesia Tbk,AMOR,G311,Financials,Investment Service,Investment Services,Investment Management,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",11.83,2.92,24.65,19.44,0.27,866666736000,58901000000,-13.64,-18.45,-24.75,-44.53,124.40,-2.56,-44.12
41,Sumber Alfaria Trijaya Tbk.,AMRT,D113,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Supermarkets & Convenience Store,"BISNIS-27, COMPOSITE, IDX30, IDX80, IDXLQ45LCL, IDXNONCYC, IDXQ30, IDXVESTA28, Investor33, KOMPAS100, LQ45, MBX",24.39,4.01,16.46,7.66,1.15,74744103060000,94475921000000,0.79,-11.98,-22.98,-35.03,3.24,7.00,-32.27
42,PT Andira Agro Tbk,ANDI,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, IDXNONCYC, ISSI",-20.35,1.71,-8.39,-3.61,1.32,224400000000,195631158529,33.33,6.67,68.42,357.14,-5.64,23.08,357.14
43,PT Austindo Nusantara Jaya Tbk.,ANJT,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",11.52,0.91,7.86,5.42,0.45,6205223750000,3134590279392,-9.55,0.56,3.15,144.90,17.18,-0.55,151.75
44,Aneka Tambang Tbk.,ANTM,B146,Basic Materials,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,"BISNIS-27, COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, IDX30, IDX80, IDXBASIC, IDXBUMN20, IDXHIDIV20, IDXLQ45LCL, IDXMESBUMN, IDXQ30, IDXVESTA28, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, MNC36, SRI-KEHATI",9.42,1.99,21.08,15.44,0.37,69929525349750,72028124000000,0.00,-14.75,-8.83,78.95,10.30,-3.34,87.06
45,Apexindo Pratama Duta Tbk,APEX,A131,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports",Oil & Gas Drilling Service,"COMPOSITE, DBX, IDXENERGY",42.04,0.73,1.75,0.48,2.65,815687332030,1063631349300,85.82,114.75,156.86,100.00,1.82,10.08,116.53
46,Pacific Strategic Financial Tbk,APIC,G511,Financials,Holding & Investment Companies,Holding & Investment Companies,Financial Holdings,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",185.84,6.47,3.48,1.34,1.60,17943628069200,1634014421009,28.07,29.78,15.42,33.94,5.91,11.45,31.53
47,PT Arita Prima Indonesia Tbk.,APII,C143,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components,"COMPOSITE, DBX, IDXINDUST, ISSI",21.05,0.47,2.21,1.40,0.58,203318640000,263968464463,2.62,11.36,16.67,11.36,3.66,2.62,10.11
48,Asiaplast Industries Tbk,APLI,B113,Basic Materials,Basic Materials,Chemicals,Specialty Chemicals,"COMPOSITE, DBX, IDXBASIC, ISSI",-842.99,1.74,-0.21,-0.15,0.37,596850073200,220217130435,-4.93,-10.17,-15.20,-22.20,-0.32,0.00,-24.29
49,Agung Podomoro Land Tbk,APLN,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, IDXSMC-COM, ISSI, MBX",3.60,0.17,4.58,2.40,0.91,2224534024342,2645914270000,5.05,-0.95,10.64,1.96,23.33,5.05,8.33
50,Archi Indonesia Tbk,ARCI,B143,Basic Materials,Basic Materials,Metals & Minerals,Gold,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",21.75,5.32,24.46,8.83,1.77,30547050000000,5486668095012,4.17,59.88,228.95,420.83,25.60,4.56,463.52
51,PT Dunia Virtual Online Tbk,AREA,I121,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,"COMPOSITE, DBX, IDXSMC-COM, IDXTECHNO, ISSI",153.48,5.69,3.71,3.08,0.20,1358686535000,46361685632,10.58,3.60,28.35,159.01,19.09,6.48,181.86
52,Argo Pantes Tbk,ARGO,E413,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM",-217.12,27.83,-12.82,-1.35,8.52,3348927675595,85182935706,-9.17,-22.66,59.68,-2.94,-18.11,-5.26,2.59
53,Atlas Resources Tbk,ARII,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, DBX, IDXENERGY, ISSI",8.35,0.79,9.41,1.17,7.06,946956000000,4453625904000,12.50,21.43,2.00,26.45,2.55,13.33,33.04
54,PT Arkha Jayanti Persada Tbk.,ARKA,C143,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components,"COMPOSITE, IDXINDUST",18.57,0.56,3.01,0.80,2.76,66000000000,102947900688,16.13,2.86,56.52,80.00,3.45,0.00,33.33
55,PT Arkora Hydro Tbk.,ARKO,J411,Infrastructures,Utilities,Electric Utilities,Electric Utilities,"COMPOSITE, DBX, IDXINFRA, IDXSMC-COM",281.33,27.58,9.80,3.08,2.18,13763926500000,247435401675,175.66,240.58,462.87,387.05,19.77,0.00,413.66
56,Armidian Karyatama Tbk,ARMY,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT",,0.31,0.37,0.32,0.16,450312500000,41338379339,0.00,0.00,0.00,0.00,13.34,0.00,0.00
57,Arwana Citramulia Tbk,ARNA,C121,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,"COMPOSITE, ESGQKEHATI, IDXINDUST, IDXSMC-COM, ISSI, MBX",9.53,2.12,22.27,15.70,0.42,3927665572160,2173867053047,-4.46,-3.60,-10.83,-25.69,18.96,-0.93,-22.46
58,Arthavest Tbk,ARTA,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",2320.64,5.10,0.22,0.21,0.04,1295355107500,47376075390,0.00,-11.42,47.94,24.24,1.18,-0.69,24.24
59,Ratu Prabu Energi Tbk,ARTI,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, IDXENERGY",5.73,-0.07,,0.51,-3.51,15680000000,8178429982,0.00,0.00,0.00,0.00,33.49,0.00,0.00
60,Bank Jago Tbk.,ARTO,G111,Financials,Banks,Banks,Banks,"COMPOSITE, ECONOMIC30, IDX80, IDXFINANCE, IDXLQ45LCL, IDXSMC-COM, IDXSMC-LIQ, INFOBANK15, KOMPAS100, MBX",116.36,3.19,2.77,0.70,2.92,27857219852000,2466793000000,0.99,-3.76,15.17,-21.15,9.80,1.99,-15.64
61,Asuransi Bintang Tbk,ASBI,G412,Financials,Insurance,Insurance,General Insurance,"COMPOSITE, DBX, IDXFINANCE",6.81,0.37,5.36,2.76,0.94,157470685344,254877321000,-4.53,4.04,-2.11,-9.90,9.07,0.87,-0.43
62,Asuransi Dayin Mitra Tbk,ASDM,G412,Financials,Insurance,Insurance,General Insurance,"COMPOSITE, DBX, IDXFINANCE",7.36,0.60,8.06,2.37,2.39,234240000000,1284464477000,0.00,13.21,1.69,22.95,2.48,-2.44,25.52
63,Astra Graphia Tbk,ASGR,C224,Industrials,Industrial Services,Commercial Services,Business Support Services,"COMPOSITE, ESGSKEHATI, IDXINDUST, IDXSMC-COM, ISSI, MBX",7.22,0.85,11.78,8.01,0.47,1699463430000,2261706000000,-4.38,-2.04,29.73,33.33,10.41,-4.00,37.93
64,Cilacap Samudera Fishing Industry Tbk,ASHA,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, DBX, IDXNONCYC, ISSI",-8.96,2.86,-31.88,-25.10,0.27,345000000000,110789182673,56.14,78.00,394.44,641.67,-34.77,32.84,584.62
65,Astra International Tbk,ASII,C311,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings,"BISNIS-27, COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX30, IDX80, IDXHIDIV20, IDXINDUST, IDXQ30, IDXV30, IDXVESTA28, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, MNC36, SRI-KEHATI",8.12,0.92,11.28,6.46,0.75,265167273067000,243608000000000,1.18,16.22,41.45,26.47,13.41,1.18,30.30
66,Asuransi Jasa Tania Tbk,ASJT,G412,Financials,Insurance,Insurance,General Insurance,"COMPOSITE, DBX, IDXFINANCE",13.51,0.59,4.34,2.42,0.79,190400000000,171039852086,8.40,27.93,35.24,26.79,8.24,5.19,27.93
67,Autopedia Sukses Lestari Tbk,ASLC,E745,Consumer Cyclicals,Retailing,Specialty Retail,Automotive Retail,"COMPOSITE, DBX, IDXCYCLIC, ISSI",29.61,1.34,4.51,3.52,0.28,1032454737180,712973599844,1.18,-13.13,32.31,4.88,4.89,1.18,14.67
68,PT Asri Karya Lestari Tbk.,ASLI,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, DBX, IDXINFRA",-156.60,5.34,-3.41,-2.93,0.16,2462500000000,136488919541,151.02,884.00,884.00,884.00,-11.52,0.00,884.00
69,Asuransi Maximus Graha Persada Tbk,ASMI,G412,Financials,Insurance,Insurance,General Insurance,"COMPOSITE, IDXFINANCE",9.58,0.64,6.66,1.82,2.65,250834652880,1476167623302,30.77,-15.00,88.89,209.09,1.77,17.24,209.09
70,Andalan Sakti Primaindo Tbk,ASPI,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",-3303.30,7.93,-0.24,-0.17,0.43,562504236525,4035468478,-0.70,33.96,425.93,425.93,-4.22,-7.19,437.88
71,PT Asia Pramulia Tbk,ASPR,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, DBX, IDXBASIC",31.90,1.51,4.72,2.61,0.81,263064000000,176170306896,-1.01,4.26,,,4.68,0.00,
72,Alam Sutera Realty Tbk,ASRI,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, IDXSMC-COM, ISSI, KOMPAS100, MBX",63.72,0.28,0.45,0.22,1.00,3222503549632,1657636593000,-1.22,-6.90,18.25,1.25,3.05,-2.41,13.29
73,Asuransi Ramayana Tbk,ASRM,G412,Financials,Insurance,Insurance,General Insurance,"COMPOSITE, DBX, IDXFINANCE",32.33,0.75,2.31,0.69,2.34,396786127360,833208933330,-4.73,16.67,8.78,-5.29,1.47,-1.23,-4.73
74,Adi Sarana Armada Tbk,ASSA,K132,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation,"COMPOSITE, ESGSKEHATI, IDXSMC-COM, IDXTRANS, MBX",10.79,1.30,12.03,4.53,1.66,4097162643870,4414754608655,7.66,33.52,58.28,67.13,8.60,8.14,74.45
75,Trimitra Prawara Goldland Tbk,ATAP,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",-81.12,2.87,-3.54,-2.70,0.31,221250000000,18406605856,74.77,295.92,618.52,646.15,-14.82,9.60,676.00
76,Anabatic Technologies Tbk,ATIC,I121,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,"COMPOSITE, DBX, IDXTECHNO, ISSI",6.95,2.19,31.56,4.70,5.72,1632329755275,6452672355430,-1.48,51.14,69.64,81.69,3.64,2.31,75.93
77,PT Atlantis Subsea Indonesia Tbk,ATLA,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, DBX, IDXENERGY, ISSI",146.84,2.29,1.56,1.51,0.04,378174239273,63401902986,-2.99,4.84,30.00,30.00,4.06,6.56,30.00
78,Astra Otoparts Tbk,AUTO,E111,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDXCYCLIC, IDXG30, IDXSMC-COM, IDXSMC-LIQ, IDXV30, ISSI, KOMPAS100, MBX, SRI-KEHATI",5.90,0.74,12.55,9.01,0.39,12242121820000,14807300000000,3.46,16.96,31.86,14.47,14.01,7.60,16.96
79,Avia Avian Tbk,AVIA,B113,Basic Materials,Basic Materials,Chemicals,Specialty Chemicals,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX80, IDXBASIC, IDXESGL, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, ISSI, JII70, KOMPAS100, MBX, MNC36, SRI-KEHATI",16.83,2.91,17.28,15.21,0.14,28498635576000,5927746000000,6.25,12.26,5.78,17.82,28.57,3.48,15.53
80,PT Era Digital Media Tbk,AWAN,I111,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,"COMPOSITE, DBX, IDXTECHNO, ISSI",240.50,8.66,3.60,2.83,0.27,748830000000,54579843000,-15.50,-14.84,-19.26,-37.36,5.70,-2.68,-39.44
81,PT Tera Data Indonusa Tbk,AXIO,I221,Technology,Technology Hardware & Equipment,Computer Hardware,Computer Hardware,"COMPOSITE, DBX, IDXTECHNO, ISSI",13.57,1.45,10.68,4.44,1.41,770896698000,1093777660312,-2.94,2.33,-5.71,-3.65,5.19,-0.75,7.32
82,PT Janu Putra Sejahtera Tbk.,AYAM,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, DBX, IDXNONCYC, ISSI",-82.78,6.95,-8.40,-3.35,1.50,1328000000000,225419514583,69.57,120.34,150.00,160.00,-7.12,20.37,174.65
83,Agro Yasa Lestari Tbk,AYLS,B121,Basic Materials,Basic Materials,Construction Materials,Construction Materials,"COMPOSITE, DBX, IDXBASIC, ISSI",-87.61,5.22,-5.96,-5.94,0.00,213355809000,750162162,0.00,145.10,133.64,323.73,-324.63,0.00,73.61
84,PT Bank MNC Internasional Tbk.,BABP,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",29.03,0.66,2.30,0.42,4.50,2464802655056,1236823000000,-5.26,-11.48,1.89,-5.26,6.94,-1.82,-1.82
85,PT Multitrend Indo Tbk.,BABY,E741,Consumer Cyclicals,Retailing,Specialty Retail,Apparel & Textile Retail,"COMPOSITE, DBX, IDXCYCLIC, ISSI",-18.27,1.89,-10.24,-6.38,0.60,769170651564,817314968665,-17.68,-11.76,-23.30,-22.86,-5.15,-3.57,-20.59
